time;true_x_rob0; true_y_rob0; true_heading_rob0;true_x_rob1; true_y_rob1; true_heading_rob1;true_x_rob2; true_y_rob2; true_heading_rob2;true_x_rob3; true_y_rob3; true_heading_rob3;true_x_rob4; true_y_rob4; true_heading_rob4
1.488;-1.87147; 0.0123545; -1.67011;-1.85503; 0.106283; -2.61835;-1.86931; -0.102261; -1.23876;-1.82549; 0.226259; -1.94888;-1.83841; -0.223461; -1.8291
1.504;-1.86988; 0.0125129; -1.66975;-1.85491; 0.106486; -2.59937;-1.86938; -0.102242; -1.30572;-1.82475; 0.226564; -1.97089;-1.83799; -0.223352; -1.83096
1.52;-1.86829; 0.0126707; -1.6694;-1.85479; 0.106687; -2.58038;-1.86945; -0.102218; -1.37102;-1.82401; 0.226884; -1.99289;-1.83758; -0.223242; -1.83281
1.536;-1.86671; 0.0128276; -1.66982;-1.85468; 0.106853; -2.58617;-1.86952; -0.102195; -1.43508;-1.82338; 0.227175; -2.00857;-1.83717; -0.223133; -1.83793
1.552;-1.86512; 0.0129853; -1.67024;-1.85457; 0.10702; -2.59191;-1.86959; -0.102183; -1.499;-1.82276; 0.227474; -2.02424;-1.83676; -0.223022; -1.84304
1.568;-1.86353; 0.0131437; -1.67067;-1.85447; 0.107189; -2.59761;-1.86965; -0.102183; -1.56298;-1.82214; 0.227783; -2.03993;-1.83636; -0.222909; -1.84816
1.584;-1.86194; 0.0133029; -1.6711;-1.85436; 0.107359; -2.60328;-1.8697; -0.102183; -1.62777;-1.82153; 0.228101; -2.05562;-1.83595; -0.222793; -1.85327
1.6;-1.86035; 0.0134637; -1.67099;-1.85424; 0.107549; -2.63103;-1.8697; -0.102183; -1.69807;-1.82103; 0.228373; -2.06549;-1.83556; -0.222677; -1.86103
1.616;-1.85875; 0.0136243; -1.67089;-1.85413; 0.107743; -2.65876;-1.8697; -0.102182; -1.76839;-1.82052; 0.228649; -2.07537;-1.83516; -0.222559; -1.86878
1.632;-1.85715; 0.0137847; -1.67078;-1.85403; 0.107942; -2.68648;-1.8697; -0.10218; -1.83872;-1.82002; 0.22893; -2.08525;-1.83476; -0.222436; -1.87654
1.648;-1.85556; 0.0139449; -1.67068;-1.85393; 0.108143; -2.7142;-1.8697; -0.102176; -1.90904;-1.81953; 0.229215; -2.09515;-1.83437; -0.222311; -1.8843
1.664;-1.85396; 0.014105; -1.6706;-1.85383; 0.108376; -2.75658;-1.86963; -0.102139; -1.97677;-1.81912; 0.229457; -2.10103;-1.83399; -0.222186; -1.89421
1.68;-1.85236; 0.014265; -1.67053;-1.85373; 0.108614; -2.79902;-1.86957; -0.1021; -2.04475;-1.81871; 0.2297; -2.10693;-1.8336; -0.222057; -1.90413
1.696;-1.85076; 0.0144249; -1.67046;-1.85365; 0.108856; -2.84148;-1.86952; -0.102059; -2.11296;-1.8183; 0.229946; -2.11283;-1.83322; -0.221925; -1.91404
1.712;-1.84916; 0.0145846; -1.67039;-1.85358; 0.109103; -2.88395;-1.86948; -0.102018; -2.18137;-1.81789; 0.230194; -2.11874;-1.83284; -0.221788; -1.92396
1.728;-1.84757; 0.0147437; -1.67011;-1.85351; 0.109391; -2.93791;-1.86914; -0.101768; -2.23691;-1.81755; 0.230405; -2.12337;-1.83248; -0.221651; -1.93635
1.744;-1.84598; 0.0149022; -1.66983;-1.85345; 0.109696; -2.99242;-1.86883; -0.101506; -2.29289;-1.81721; 0.230618; -2.12801;-1.83211; -0.22151; -1.94874
1.76;-1.84439; 0.0150603; -1.66955;-1.85341; 0.110032; -3.04795;-1.86853; -0.101228; -2.34888;-1.81686; 0.230833; -2.13266;-1.83175; -0.221364; -1.96113
1.776;-1.8428; 0.0152178; -1.66927;-1.85338; 0.11041; -3.1049;-1.86824; -0.100939; -2.40517;-1.81652; 0.231049; -2.13731;-1.83138; -0.221213; -1.97352
1.792;-1.84121; 0.0153746; -1.6697;-1.85337; 0.110697; 3.11404;-1.86779; -0.100431; -2.45171;-1.8162; 0.231255; -2.14636;-1.83102; -0.221058; -1.99115
1.808;-1.83962; 0.0155321; -1.67013;-1.85338; 0.111107; 3.04534;-1.86737; -0.0999034; -2.49824;-1.81588; 0.231465; -2.15542;-1.83067; -0.220897; -2.0088
1.824;-1.83803; 0.0156904; -1.67056;-1.85343; 0.111515; 2.97663;-1.86697; -0.0993569; -2.5448;-1.81556; 0.231678; -2.16448;-1.83031; -0.220729; -2.02644
1.84;-1.83645; 0.0158494; -1.67099;-1.8535; 0.111919; 2.90796;-1.86661; -0.0987929; -2.59139;-1.81524; 0.231893; -2.17355;-1.82996; -0.220554; -2.04409
1.856;-1.83485; 0.0160096; -1.67072;-1.85359; 0.112299; 2.83904;-1.86626; -0.0981976; -2.63262;-1.81491; 0.232127; -2.18891;-1.82959; -0.220361; -2.06897
1.872;-1.83326; 0.0161692; -1.67044;-1.85371; 0.112652; 2.76962;-1.86593; -0.0975891; -2.67389;-1.81457; 0.232366; -2.20429;-1.82922; -0.220158; -2.09388
1.888;-1.83167; 0.0163283; -1.67016;-1.85385; 0.112977; 2.69971;-1.86563; -0.0969681; -2.71519;-1.81424; 0.23261; -2.21967;-1.82886; -0.219945; -2.11879
1.904;-1.83008; 0.016487; -1.66988;-1.854; 0.113269; 2.629;-1.86536; -0.0963355; -2.75653;-1.81392; 0.23286; -2.23505;-1.82851; -0.219722; -2.1437
1.92;-1.82849; 0.0166453; -1.6701;-1.85421; 0.113616; 2.56182;-1.86514; -0.0957724; -2.79424;-1.81358; 0.233126; -2.254;-1.82812; -0.219466; -2.17286
1.936;-1.82689; 0.0168041; -1.67032;-1.85444; 0.113947; 2.49472;-1.86495; -0.0951924; -2.83163;-1.81325; 0.233398; -2.27297;-1.82774; -0.219198; -2.20203
1.952;-1.8253; 0.0169633; -1.67054;-1.8547; 0.114261; 2.42772;-1.86476; -0.0945859; -2.86831;-1.81293; 0.233677; -2.29194;-1.82737; -0.218918; -2.23121
1.968;-1.8237; 0.0171228; -1.67075;-1.85497; 0.114557; 2.36078;-1.8646; -0.0939528; -2.90428;-1.81261; 0.233963; -2.3109;-1.82701; -0.218628; -2.26038
1.984;-1.82211; 0.0172825; -1.67048;-1.8554; 0.114972; 2.30321;-1.86448; -0.0934027; -2.94012;-1.8123; 0.234251; -2.33182;-1.82664; -0.218306; -2.29066
